ORIGIN,Southwest
OKC,0.39181857564276235
OLF,0.0
OLH,0.0
OLS,0.0
OMA,0.3285066611712509
OME,0.0
ONP,0.0
ONT,0.598013334986919
OOK,0.0
OPF,0.0
ORD,0.0
ORF,0.28607838695061166
ORH,0.0
ORI,0.0
ORV,0.0
OSC,0.0
OTH,0.0
OTS,0.0
OTZ,0.0
OWB,0.0
OWD,0.0
OXC,0.0
PAE,0.0
PAH,0.0
PBG,0.0
PBI,0.1354167284195799
PDB,0.0
PDK,0.0
PDT,0.0
PDX,0.19109234920358603
PEC,0.0
PGA,0.0
PGD,0.0
PGM,0.0
PGV,0.0
PHF,0.0
PHL,0.08847741221819443
PHO,0.0
PHX,0.32743210058203226
PIA,0.0
PIB,0.0
PIE,0.0
PIH,0.0
PIP,0.0
PIR,0.0
PIT,0.1832440480758899
PIZ,0.0
PKA,0.0
PKB,0.0
PLN,0.0
PNS,0.0
PPC,0.0
PPG,0.0
PPV,0.0
PQI,0.0
PQS,0.0
PRB,0.0
PRC,0.0
PSC,0.0
PSE,0.0
PSG,0.0
PSM,0.0
PSP,0.0
PTA,0.0
PTH,0.0
PTK,0.0
PTU,0.0
PUB,0.0
PUW,0.0
PVC,0.0
PVD,0.5216778548381115
PVU,0.0
PWM,0.0
PWT,0.0
RAP,0.0
RBG,0.0
RBN,0.0
RBW,0.0
RBY,0.0
RCE,0.0
RDB,0.0
RDD,0.0
RDG,1.0
RDM,0.0
RDU,0.22201182338813966
RDV,0.0
RFD,0.0
RHI,0.0
RIC,0.0
RIV,0.0
RIW,0.0
RKD,0.0
RKS,0.0
RME,0.0
RMP,0.0
RNO,0.5284460986308653
ROA,0.0
ROC,0.0
ROP,0.0
ROW,0.0
RQI,0.0
RSH,0.0
RSJ,0.0
RST,0.0
RSW,0.13249002719425415
RUT,0.0
SAF,0.0
SAN,0.3897144701580331
SAT,0.3903230238907442
SAV,0.0
SBA,0.0
SBN,0.0
SBP,0.0
SBY,0.0
SCC,0.0
SCE,0.0
SCF,0.0
SCK,0.0
SCM,0.0
SDF,0.3622929901348737
SDM,0.0
SDP,0.0
SDY,0.0
SEA,0.09080219514975159
SFB,0.0
SFO,0.09584125490693307
SGF,0.0
SGU,0.0
SGY,0.0
SHD,0.0
SHG,0.0
SHH,0.0
SHR,0.0
SHV,0.0
SHX,0.0
SIT,0.0
SJC,0.5410477239266007
SJT,0.0
SJU,0.0
SKK,0.0
SKW,0.0
SLC,0.12459076795985947
SLE,0.0
SLK,0.0
SLN,0.0
SLQ,0.0
SMF,0.5619208208205343
SMK,0.0
SMO,0.0
SMX,0.0
SNA,0.39325328163518253
SNP,0.0
SOV,0.0
SOW,0.0
SPB,0.0
SPI,0.0
SPN,0.0
SPS,0.0
SRQ,0.0
SRV,0.0
SSB,0.0
STC,0.0
STG,0.0
STL,0.5078786161963104
STP,0.0
STS,0.0
STT,0.0
STX,0.0
SUN,0.0
SUS,0.0
SUU,0.0
SUX,0.0
SVA,0.0
SVC,0.0
SVS,0.0
SWF,0.0
SWO,0.0
SXP,0.0
SYR,0.0
TAL,0.0
TBN,0.0
TCL,0.0
TCT,0.0
TEB,0.0
TEH,0.0
TEK,0.0
TEX,0.0
TIQ,0.0
TKE,0.0
TKJ,0.0
TLA,0.0
TLF,0.0
TLH,0.0
TLJ,0.0
TLT,0.0
TNC,0.0
TNK,0.0
